Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","690","Seychelles","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","694","Sierra Leone","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","49.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","702","Singapore","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","703","Slovakia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","69","E","Estimated value",""
"FS","Suite of Food Security Indicators","705","Slovenia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","96","E","Estimated value",""
"FS","Suite of Food Security Indicators","090","Solomon Islands","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","52.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","706","Somalia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","710","South Africa","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","79","E","Estimated value",""
"FS","Suite of Food Security Indicators","728","South Sudan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","724","Spain","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","108","E","Estimated value",""
"FS","Suite of Food Security Indicators","144","Sri Lanka","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","67.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","729","Sudan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","74.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","740","Suriname","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","64.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","752","Sweden","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","106.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","756","Switzerland","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","96.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","760","Syrian Arab Republic","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","762","Tajikistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","71","E","Estimated value",""
"FS","Suite of Food Security Indicators","764","Thailand","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","61","E","Estimated value",""
"FS","Suite of Food Security Indicators","626","Timor-Leste","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","51.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","768","Togo","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","56","E","Estimated value",""
"FS","Suite of Food Security Indicators","772","Tokelau","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","776","Tonga","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","780","Trinidad and Tobago","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","85","E","Estimated value",""
"FS","Suite of Food Security Indicators","788","Tunisia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","99.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","792","Türkiye","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","110.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","795","Turkmenistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","89.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","798","Tuvalu","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","800","Uganda","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","804","Ukraine","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","88","E","Estimated value",""
"FS","Suite of Food Security Indicators","784","United Arab Emirates","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","81.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","826","United Kingdom of Great Britain and Northern Ireland","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","105","E","Estimated value",""
"FS","Suite of Food Security Indicators","834","United Republic of Tanzania","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","60","E","Estimated value",""
"FS","Suite of Food Security Indicators","840","United States of America","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","114.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","858","Uruguay","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","85.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","860","Uzbekistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","99","E","Estimated value",""
"FS","Suite of Food Security Indicators","548","Vanuatu","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","64","E","Estimated value",""
"FS","Suite of Food Security Indicators","862","Venezuela (Bolivarian Republic of)","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","52.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","704","Viet Nam","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","86","E","Estimated value",""
"FS","Suite of Food Security Indicators","887","Yemen","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","51.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","894","Zambia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","58.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","716","Zimbabwe","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
