Area,Item Code,Item,Year Code,Year,Unit,Value
Eswatini,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,67.7
Ethiopia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,2296.9
Ethiopia,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,56.2
Ethiopia,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,57.3
Ethiopia,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,54.5
Fiji,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,11527
Fiji,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,19.3
Fiji,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Fiji,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Finland,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,47397.4
Finland,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,8.8
Finland,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,7.3
Finland,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,10.5
France,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,42320.5
France,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,5.9
France,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,6.2
France,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,5.3
French Polynesia,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
French Polynesia,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
French Polynesia,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Gabon,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,14320.8
Gabon,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Gabon,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Gabon,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Gambia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,2158.4
Gambia,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,58
Gambia,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,59.5
Gambia,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,56.6
Georgia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,13966.3
Georgia,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,38.8
Georgia,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,35.1
Georgia,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,41
Germany,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,51423.2
Germany,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,3.5
Germany,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,3.5
Germany,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,3.2
Ghana,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,5451.1
Ghana,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,36.6
Ghana,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,39.4
Ghana,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,43.3
Greece,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,27072.6
Greece,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,6.8
Greece,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,13.2
Greece,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,16.4
Greenland,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Greenland,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Greenland,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Grenada,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,14480.5
Grenada,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,22.3
Grenada,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Grenada,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Guatemala,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,8393.3
Guatemala,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,55.9
Guatemala,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,40.4
Guatemala,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,49.8
Guinea,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,2611.4
Guinea,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,73.3
Guinea,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,71.2
Guinea,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,73.4
Guinea-Bissau,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,1847.5
Guinea-Bissau,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,75
Guinea-Bissau,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Guinea-Bissau,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Guyana,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,18680
Guyana,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Guyana,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Guyana,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Haiti,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,2934.2
Haiti,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,82.5
Haiti,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,82.5
Haiti,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,82.4
Honduras,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,5138.4
Honduras,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,49.9
Honduras,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,53.6
Honduras,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,61.6
Hungary,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,31167.7
Hungary,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,10.6
Hungary,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,9.3
Hungary,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,12
Iceland,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,52375.7
Iceland,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,6.3
Iceland,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,6.2
Iceland,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,7
India,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,6186.6
India,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
India,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
India,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Indonesia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,11445.6
Indonesia,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,6
Indonesia,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,42.4
Indonesia,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,42.2
Iran (Islamic Republic of),22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,14971.2
Iran (Islamic Republic of),210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,42.4
Iran (Islamic Republic of),210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,41.2
Iran (Islamic Republic of),210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,39.4
Iraq,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,9437.5
Iraq,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Iraq,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Iraq,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Ireland,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,90789.2
Ireland,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,6.5
Ireland,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,6.6
Ireland,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,4.8
Israel,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,39056.4
Israel,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,14.2
Israel,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,8.7
Israel,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,7.6
Italy,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,39071
Italy,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,6.3
Italy,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,5.4
Italy,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,5.1
Jamaica,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,8761
Jamaica,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,50.3
Jamaica,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,44.5
Jamaica,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,54.1
Japan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,39935.5
Japan,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,3.8
Japan,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,4.8
Japan,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,2.9
Jordan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,9816.6
Jordan,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,43
Jordan,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,41.3
Jordan,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,39
Kazakhstan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,25361.5
Kazakhstan,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,2.7
Kazakhstan,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,13
Kazakhstan,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,14
Kenya,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,4349
Kenya,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,69.5
Kenya,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,72.3
Kenya,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,82.6
Kiribati,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,2059.1
Kiribati,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,41
Kiribati,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Kiribati,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Kuwait,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,44847.1
Kuwait,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,12.2
Kuwait,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,12.7
Kuwait,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,10.2
Kyrgyzstan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,4726.2
Kyrgyzstan,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,6.6
Kyrgyzstan,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,26.1
Kyrgyzstan,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,27.8
Lao People's Democratic Republic,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,7810.7
Lao People's Democratic Republic,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,31.8
Lao People's Democratic Republic,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,28.3
Lao People's Democratic Republic,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,32.9
Latvia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,30053.3
Latvia,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,9.4
Latvia,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,7.3
Latvia,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,8.3
Lebanon,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,10786.1
Lebanon,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,29.1
Lebanon,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,26.5
Lebanon,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,27.9
Lesotho,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,2435.9
Lesotho,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,54.4
Lesotho,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,89.2
Lesotho,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,83.6
Liberia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,1392
Liberia,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,80.6
Liberia,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,86.9
Liberia,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,89.7
Libya,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,16388.8
Libya,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,39.4
Libya,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,32.2
Libya,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,45.9
Lithuania,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,37107.1
Lithuania,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,9.8
Lithuania,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,7.4
Lithuania,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,9.1
Luxembourg,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,112557
Luxembourg,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,2.8
Luxembourg,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,2.4
Luxembourg,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,2.4
Madagascar,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,1463.8
Madagascar,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,61.1
Madagascar,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,56.9
Madagascar,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,62.9
Malawi,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,1508.8
Malawi,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,81.3
Malawi,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,88.4
Malawi,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,89.8
Malaysia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,26471.7
Malaysia,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,15.4
Malaysia,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,21
Malaysia,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,15.8
Maldives,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,12744.4
Maldives,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,13.4
Maldives,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,13.5
Maldives,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,13.1
Mali,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,2225.9
Mali,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Mali,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Mali,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Malta,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,40696.7
Malta,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,5.2
Malta,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,4
Malta,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,6.3
Marshall Islands,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,3931.8
Marshall Islands,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Marshall Islands,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Marshall Islands,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Mauritania,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,5109.8
Mauritania,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,45.3
Mauritania,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,56.4
Mauritania,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,51.5
Mauritius,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,19462.9
Mauritius,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,28.2
Mauritius,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,25.2
Mauritius,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,27.1
Mexico,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,17878.3
Mexico,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,26.1
Mexico,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,25.8
Mexico,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,38.1
Micronesia (Federated States of),22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,3368.1
Micronesia (Federated States of),210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Micronesia (Federated States of),210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Micronesia (Federated States of),210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Mongolia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,11723.9
Mongolia,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,25.7
Mongolia,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,23.5
Mongolia,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,25.8
Montenegro,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,18258.9
Montenegro,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,14
Montenegro,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,15
Montenegro,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,13.4
Morocco,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,6986.3
Morocco,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,31.6
Morocco,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,30.1
Morocco,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,32.3
Mozambique,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,1229.9
Mozambique,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,73.7
Mozambique,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,67.8
Mozambique,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,70.1
Myanmar,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,4857.4
Myanmar,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,25.5
Myanmar,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Myanmar,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Namibia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,8872.6
Namibia,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,57.9
Namibia,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,66.6
Namibia,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,71.9
Nauru,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,13592.8
Nauru,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Nauru,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Nauru,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Nepal,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,3789.2
Nepal,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,37.8
Nepal,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,36.6
Nepal,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,35.3
Netherlands,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,54324.4
Netherlands,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,4.4
